XEP,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
0082,XMPP Date and Time Profiles,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0083,Nested Roster Groups,[null],<ref name="ejabberd-protocols" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0084,User Avatar,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0085,Chat State Notifications,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,[null],[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0086,Error Condition Mappings,[null],<ref name="ejabberd-protocols" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],<ref name="openfire-features" />,[null],<ref name="tigase-features" />
0090,Legacy Entity Time,[null],<ref name="ejabberd-protocols" /><ref name="ReferenceA">[#EJAB-849&#93; Remove support of the deprecated XEP-0090: Entity Time and XEP-0091: Delayed Delivery - ProcessOne - Support. Support.process-one.net. Retrieved on 2013-07-17.</ref>,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
XEP,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
0091,Legacy Delayed Delivery,[null],<ref name="ejabberd-protocols" /><ref name="ReferenceA" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,[null],<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0092,Software Version,[null],<ref name="ejabberd-protocols" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0093,Roster Item Exchange,[null],[null],[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,[null],[null],[null],[null],[null],[null]
0095,Stream Initiation,[null],[null],[null],[null],<ref name="jabberd2-features" />,[null],[null],[null],[null],[null],[null]
0096,SI File Transfer,[null],[null],[null],[null],<ref name="jabberd2-features" />,[null],[null],[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0106,JID escaping,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,[null],[null],[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0107,User Mood,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0108,User Activity,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0114,Jabber Component Protocol,[null],<ref name="ejabberd-protocols" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0115,Entity Capabilities,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],<ref name="mod_caps"></ref>,<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0118,User Tune,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0122,Data Forms Validation,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough"/>,[null]
0124,Bidirectional-streams Over Synchronous HTTP (BOSH),[null],<ref name="ejabberd-protocols" />,[null],Contrib.<ref name="jabberd14-features" /><ref></ref>,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0126,Invisibility,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,[null]
0128,Service Discovery Extensions,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0130,Waiting Lists,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,[null]
0131,Stanza Headers and Internet Metadata,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,[null],<ref name="M-Link-features" />,[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0133,Service Administration,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0136,Message archiving,[null],Contrib.<ref name="ejabberd-protocols" /><ref>mod_archive - Message Archiving (XEP-0136) | ejabberd Community Site. Ejabberd.im. Retrieved on 2013-07-17.</ref>,[null],Contrib.<ref name="jabberd14-features" /><ref></ref>,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],/Plugin<ref></ref>,Contrib.<ref></ref>,<ref name="tigase-features" />
0137,Publishing SI Requests,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,[null],[null],[null],[null],[null],[null]
XEP,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
0138,Stream Compression,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0148,Instant Messaging Intelligence Quotient,Humorous,[null],[null],[null],<ref name="jabberd2-features" />,unfinished,[null],[null],[null],experimental,<ref name="tigase-features" />
0153,vCard-Based Avatars,[null],<ref name="ejabberd-protocols" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0154,User profile,[null],Contrib.<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,[null]
0157,Contact Addresses for XMPP Services,[null],<ref name="ejabberd-protocols" /><ref></ref>,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],Contrib.<ref name="prosody-thorough" />,<ref name="tigase-features" />
