Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
Toktumi Unlimited  Line2 Pro,Windows XP-Vista-7  macOS  iOS  Android,[null],[null],Proprietary with SIP core,[null],[null],20,Conferencing  voicemail  caller ID  call-waiting  address book integration; auto-attendant  call-forwarding,Windows; ; macOS;
Tox,Linux  macOS  Windows  Android  FreeBSD,[null],[null],Tox  VP8,Opus ,[null],[null],Voice  video  instant messaging  file transfers,[null]
Tru App,Windows 2000-XP-Vista-7  macOS  Linux<br />iOS  Android  Symbian  BlackBerry OS ,[null],[null],SIP  XMPP,[null],[null],[null],Chat  file transfer  voicemail  inbound numbers  integration with GTalk  Microsoft Live  Skype,[null]
Tuenti,Android  iPhone  Windows Phone,[null],[null],WebRTC  SIP  XMPP,iLBC  Opus,Yes,?,Voice  video  Instant messaging  group chat  photo and video sharing  SMS and MMS  native and social network contacts integration  incoming call/IM push notifications.,[null]
Twinkle,Linux,[null],[null],SIP,G.711 A-law μ-law  G.726  GSM  iLBC  Speex narrow wide ultrawide,[null],3,Conferencing  chat  file transfer  Firefox integration  call redirection  voicemail  support of VoIP-to-Phone services,[null]
Ventrilo,macOS  Windows  iOS  Android,[null],[null],[null],[null],[null],8,Conferencing  chat  text-to-speech,3.0.8
Viber,Linux </ref><ref>Viber Unveils Desktop App</ref>}} macOS  Windows  Android  Bada  BlackBerry OS  iOS  Series 40  Symbian  Windows Phone,[null],[null],[null],[null],<ref name="Lunden-19-April-2016"/>,[null],Varies by platform: Text  picture and video messaging on all  voice calling only on iPhone  Android and Microsoft's Windows Phone,[null]
Vonage,Linux  macOS  Windows  Android  iOS,Proprietary,not free,SIP  STUN  ICE  TURN,Audio: Opus  G.711 Video: VP8,SRTP,50,VoIP   video  instant messaging  presence (SIP SIMPLE)  PSTN (inbound and outbound)  call waiting  call hold  call forwarding  voicemail  message-waiting indication  3-way conferencing  contacts integration  receptionist console  video  group chat  content sharing  SMS over IP services  native and social network contacts integration  incoming call/IM push notifications  fax  file sharing  screen sharing (desktop only)  number programmability.,[added]
Wire,Linux  Windows  macOS  iOS  Android  Web,[null],not free,[null],{{Opus (audio)  VP8 (video)}},[null],10<ref></ref>,End-to-end encryption by default for everything  instant messaging  video call  video group call  file sharing  GIF sharing  push to talk  edit message  delete message (on both side)  timed messages  doodling  identity verification  screen sharing (desktop only),[null]
X-Lite,macOS  Windows,[null],[null],SIP  STUN  ICE  TURN,H.263  H.263+  G.711  iLBC  Speex,[null],3,VoIP over WiFi  3G  4G  video  instant messaging  presence (SIP SIMPLE)  call waiting  call hold  call forwarding  voice mail  message waiting indication  3 way conferencing  contacts integration  background noise reduction (BNR)  automatic gain control (AGC),5.3.3
Yahoo! Messenger,Classic Mac OS (8  9)  macOS  Windows  (Linux  FreeBSD version VoIP incapable),[null],[null],SIP (using TLS) and RTP (media),[null],[null],[null],Video  file transfer  PC to phone  phone to PC,Windows: 11.5.0.228; <br /> Mac: 3.0.1; <br /> Linux: 1.0.6; <br /> SunOS 5.7: 0.99.17-1; <br /> Solaris 8: 1.0.4; <br /> FreeBSD 4-5: 1.0.4; <br /> iOS: 2.2.6;
Yate Client,Linux  macOS  Windows,[null],[null],SIP  IAX  XMPP  H.323,G.711a  G.711u  GSM 06.10  iLBC  Speex  G.723  G.726  G.728  G.729,[null],[null],[null],6.0.0;
Zfone,Linux  macOS  Windows,[null],[null],SIP  RTP,[null],[null],[null],[null],Beta 2008-09-04 (Linux 0.9.224)  (macOS 0.9.246)  (Windows 0.9.206)
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
