+Comparison table of North American ski resorts,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult weekend lift ticket window price (USD),Date statistics updated
Mount Brighton,Brighton,Michigan,1.330,1.100,230,130,26,13,60,$64,website=mtbrighton.com|access-date=2019-12-09}}</ref>,[added]
Mount Holiday Ski and Recreational Area,Traverse City,Michigan,440,240,200,45,12,4,120,$34,December 9  2019<ref></ref>,[added]
Mount McSauba,Charlevoix,Michigan,650,400,150,80,10,4,[null],$18,December 9  2019<ref></ref>,[added]
Mount Zion Ski Hill,Ironwood,Michigan,1.400,1.100,300,20,9,2,[null],$25,December 9  2019<ref></ref>,[added]
Mulligan's Hollow Ski Bowl,Grand Haven,Michigan,700,570,130,10,7,5,60,$20,December 9  2019<ref></ref>,[added]
Norway Mountain Resort,Norway,Michigan,1.335,835,500,186,17,6,100,$45,December 9  2019<ref></ref>,[added]
Nub's Nob Ski Area,Harbor Springs,Michigan,1.338,911,427,248,53,10,123,$88,December 9  2019<ref></ref>,[added]
Otsego Club and Resort,Gaylord,Michigan,1.380,1.080,300,160,30,5,150,$65,December 9  2019<ref></ref>,[added]
Petoskey Winter Sports Park,Petoskey,Michigan,790,720,70,[null],[null],1,[null],Free,December 9  2019<ref></ref>,[added]
Pine Knob,Clarkston,Michigan,1.308,1.009,300,80,14,6,[null],$47,December 9  2019<ref></ref>,[added]
Pine Mountain Resort,Iron Mountain,Michigan,1.650,1.150,500,220,31,4,60,$49,website=pinemountainresort.com|language=en|access-date=2019-12-09}}</ref>,[added]
Porcupine Mountains Ski Area,Ontonagon,Michigan,1.360,720,640,200,19,3,[null],$45,December 9  2019<ref></ref>,[added]
Shanty Creek Resort,Bellaire,Michigan,1.125,675,450,70,42,8,160,$74,December 9  2019<ref></ref>,[added]
Ski Brule,Stambaugh,Michigan,1.861,1.361,500,150,17,11,150,$55,website=Ski Brule|language=en|access-date=2019-12-09}}</ref>,[added]
Snow Snake Mountain Ski Area,Harrison,Michigan,1.230,1.020,210,40,12,6,[null],$35,December 9  2019<ref></ref>,[added]
Timber Ridge,Gobles,Michigan,850,650,200,50,16,8,[null],$45,December 9  2019<ref></ref>,[added]
Treetops Resort,Gaylord,Michigan,1.345,1.120,225,80,23,5,175,$43,December 9  2019<ref></ref>,[added]
Belleyare Ski Center,Kingston,New York,3.429,2.024,1.405,173,52,8,141,$80,website=belleayre.com|access-date=2019-12-10}}</ref>,[added]
Gore Mountain Ski Resort,Glens Falls,New York,3.600,1.000,2.600,428,109,15,150,$94,website=goremountain.com|access-date=2019-12-10}}</ref>,[added]
Holiday Valley,Buffalo,New York,2.250,1.500,750,290,58,13,180,$85,December 10  2019<ref></ref>,[added]
Peek'n Peak Resort,Erie,New York,1.800,1.400,400,130,27,9,105,$64,December 10  2019<ref></ref>,[added]
Catamount Ski Area,Great Barrington,New York,2.000,1.000,1.000,119,36,7,75,$30,December 10  2019<ref></ref>,[added]
Greek Peak Mountain Resort,Virgil,New York,2.200,1.148,952,220,55,9,122,$79,December 10  2019<ref></ref>,[added]
Titus Mountain Family Ski Center,Malone,New York,2.025,825,1.200,380,50,10,150,$49,December 10  2019<ref></ref>,[added]
Kissing Bridge,Glenwood,New York,1.700,1.150,550,700,39,10,120,$65,December 10  2019<ref></ref>,[added]
Holiday Mountain,Monticello,New York,1.550,1.150,400,37,9,4,50,$42,language=en-US|access-date=2019-12-10}}</ref>,[added]
Bristol Mountain Ski Resort,Rochester,New York,2.150,1.000,1.150,160,35,6,130,$79,website=Bristol Mountain|language=en-US|access-date=2019-12-10}}</ref>,[added]
Buffalo Ski Center,Colden,New York,3.429,2.025,500,225,43,6,[null],$50,website=buffaloskicenter.com|access-date=2019-12-10}}</ref>,[added]
Big Tupper Ski Area,Tupper Lake,New York,[null],[null],[null],[null],[null],[null],[null],Temporarily Closed,December 9  2019<ref></ref>,[added]
Hickory Ski Center,[null],New York,[null],[null],[null],[null],[null],[null],[null],Temporarily Closed,December 9  2019<ref></ref>,[added]
Four Season Ski Center,Fayetteville,New York,604,545,59,12,4,2,[null],$24,December 10  2019<ref></ref>,[added]
Maple Ski Ridge,Schenectady,New York,1.200,750,450,25,10,3,[null],$39,December 10  2019<ref></ref>,[added]
McCauley Mountain Ski Center,Old Forge,New York,2.280,1.647,633,70,21,5,200,$35,December 10  2019<ref></ref>,[added]
Mount Pisgah Ski Area,Saranac Lake,New York,2.060,1.770,290,15,5,1,[null],$15,website=visitadirondacks.com|access-date=2019-12-10}}</ref>,[added]
Beartown Ski Area,Plattburgh,New York,1.000,850,150,32,9,2,[null],$22,December 10  2019<ref></ref>,[added]
Mount Peter,Warwick,New York,1.250,800,450,69,14,5,50,$62,date=2018-12-26|website=mtpeter.com|language=en-US|access-date=2019-12-10}}</ref>,[added]
Oak Mountain,Speculator,New York,2.400,1.650,750,46,22,4,120,$40,December 10  2019,[added]
Royal Mountain Ski Area,Johnstown,New York,1.800,1.250,550,35,14,3,90,$45,December 10  2019<ref></ref>,[added]
Song Mountain Resort,Tully,New York,1.940,1.240,700,93,24,5,125,$61,December 10  2019<ref name="Daily Lift Tickets"></ref>,[added]
Snow Ridge Ski Resort,Turin,New York,2.000,1.350,650,130,21,6,230,$48,December 10  2019<ref></ref>,[added]
Labrador Mountain,Truxton,New York,1.825,1.125,700,250,23,4,125,$61,December 10  2019<ref name="Daily Lift Tickets"/>,[added]
Swain Resort,Grove,New York,1.970,1.320,650,130,35,5,120,$65,December 10  2019<ref></ref>,[added]
Dry Hill Ski Area,Watertown,New York,950,650,300,37,7,3,125,$38,December 10  2019<ref></ref>,[added]
Thunder Ridge Ski Area,Patterson,New York,1270,670,600,90,21,7,[null],$57,December 10  2019,[added]
Tuxedo Ridge Ski Center,[null],New York,[null],[null],[null],[null],[null],[null],[null],Temporarily Closed,December 10  2019<ref></ref>,[added]
West Mountain,Glens Falls,New York,1.470,460,1.010,124,30,7,80,$79,website=westmtn.net|access-date=2019-12-10}}</ref>,[added]
Willard Mountain,Greenwich,New York,1.415,910,505,50,16,5,80,$47,December 10  2019<ref></ref>,[added]
Toggenburg Mountain Ski Center,Fabius,New York,2.000,1.300,700,85,22,5,130,$57,December 10  2019<ref></ref>,[added]
Woods Valley Ski Area,Rome,New York,1.400,900,500,25,21,6,180,$39,December 10  2019<ref></ref>,[added]
Brantling Ski Slopes,Sodus,New York,850,600,250,20,10,5,110,$32,December 10  2019<ref></ref>,[added]
Plattekill Mountain,Roxbury,New York,3.500,2.400,1.100,110,38,4,175,$68,December 10  2019<ref></ref>,[added]
Bromley Mountain Resort,Manchester,Vermont,3.284,1.950,1.334,178,47,9,168,$92,December 10  2019<ref></ref>,[added]
Burke Mountain,Lyndonville,Vermont,3.267,1.210,2.011,178,50,6,217,$75,December 10  2019<ref></ref>,[added]
Cochran's Ski Area,Richmond,Vermont,950,600,350,15,8,3,150,$19,December 10  2019<ref></ref>,[added]
Hard'ack Recreation Area,St. Albans,Vermont,[null],[null],100,[null],[null],1,[null],Free,December 10  2019<ref></ref>,[added]
Living Memorial Park,Brattleboro,Vermont,1126,922,204,8,2,1,[null],$5,language=en-US|access-date=2019-12-10}}</ref>,[added]
Lyndon Outing Club,Lyndon,Vermont,1.247,814,433,32,10,2,[null],$15,website=skilyndon.com|access-date=2019-12-10}}</ref>,[added]
Mad River Glen,Waitsfield,Vermont,3.637,1.600,2.037,115,52,5,230,$79,December 10  2019,[added]
Jay Peak,Jay,Vermont,3.968,1.815,2.153,385,79,9,350,$89,website=jaypeakresort.com|access-date=2019-12-10}}</ref>,[added]
Magic Mountain,Londonderry,Vermont,2.850,1.350,1.500,205,51,6,150,$74,language=en-US|access-date=2019-12-10}}</ref>,[added]
Middlebury College Snow Bowl,Hancock,Vermont,2.720,1.720,1.000,110,17,3,250,$60,December 10  2019<ref></ref>,[added]
Pico Mountain,Killington,Vermont,3.967,2.000,1.967,468,57,7,250,$85,December 10  2019<ref></ref>,[added]
Suicide Six,Pomfret,Vermont,1.200,550,650,100,23,3,110,$79,December 10  2019<ref></ref>,[added]
