+Comparison table of North American ski resorts,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult weekend lift ticket window price (USD),Date statistics updated
Alta Ski Area http://www.alta.com,Salt Lake City,Utah,10.550,8.530,2.020,2.200,116,10,560,$125,December 11  2019<ref></ref>,[added]
Snowbird http://www.snowbird.com,Salt Lake City,Utah,10.992,7.760,3.240,2.500,85,13,500,$145,December 11  2019<ref></ref>,[added]
Smuggler's Notch,Jeffersonville,Vermont,3.640,1.030,2.610,1.000,78,16,288,$82,December 11  2019<ref></ref>,[added]
Windham Mountain,Windham,New York,3.100,1.500,1.600,279,52,12,100<ref></ref>,$98,December 11  2019<ref></ref>,[added]
Hunter Mountain,Hunter,New York,3.200,1.600,1.600,240,58,10,120<ref></ref>,$91,December 11  2019<ref></ref>,[added]
Killington Ski Resort,Killington,Vermont,4.241,1.165,3.050,1.509,155,21,250,$125,December 11  2019<ref></ref>,[added]
Okemo Mountain,Ludlow,Vermont,3.344,1.144,2.200,632,119,19,200,$119,December 11  2019<ref></ref>,[added]
Stowe Mountain Resort,Stowe,Vermont,3.719,1.559,2.160,485,116,13,333,$139,December 11  2019<ref></ref>,[added]
Sugarbush Resort,Warren,Vermont,4.083,1.483,2.600,508,111,16,269,$128,December 11  2019<ref></ref>,[added]
Sugarloaf,Carrabassett Valley,Maine,4.237,1.417,2.820,1.153,154,14,200,$105,December 11  2019<ref></ref>,[added]
Snowshoe Mountain,Marlinton,West Virginia,4.848,3.348,1.500,244,60,14,180,$109,December 11  2019<ref></ref>,[added]
Sunshine Village http://www.skibanff.com/,Banff,Alberta,8.954,5.440,3.514,3.358,107,12,360,$82,January 19  2013,[added]
Mt. Norquay http://banffnorquay.com//,Banff,Alberta,8.040,5.500,1.650,190,28,5,120,$59,January 19  2013,[added]
Grouse Mountain http://grousemountain.com//,North Vancouver,British Columbia,4.039,899,1.198,212,26,5,120,$58,April 2  2013,[added]
Mount Seymour http://www.mountseymour.com//,North Vancouver,British Columbia,4.150,935,1.083,200,23,5,394,$51,April 2  2013,[added]
Cypress Mountain http://cypressmountain.com//,West Vancouver,British Columbia,4.724,2.985,2.001,600,53,6,245,$60,April 2  2013,[added]
Stevens Pass http://stevenspass.com//,Stevens Pass,Washington,5.845,4.061,1.800,1.125,37,10,450,$111,December 11  2019<ref></ref>,[added]
Sun Peaks Resort,Kamloops,British Columbia,6.824,3.930,2.894,4.270,135,12,237,$74,December 23  2017,[added]
Crystal Mountain,Enumclaw,Washington,7.012,3.912,3.100,2.600,57,12,350,$96,website=crystalmountainresort.com|access-date=2019-12-11}}</ref>,[added]
Red Mountain Resort http://redresort.com//,Rossland http://tourismrossland.com//,British Columbia,6.807,3.887,2.919,4.200,110,7,300,$74,February 26  2019,[added]
Mt Baker http://mtbaker.us//,Glacier,Washington,5.089,3.500,1.589,1.000,31,10,641,$63,December 11  2019<ref></ref>,[added]
Whiteface Mountain,Lake Placid,New York,4.650,1.220,3.430,314,87,11,168<ref></ref>,$104,website=whiteface.com|access-date=2019-12-11}}</ref>,[added]
Powder Mountain,Eden,Utah,9.422<ref name=":0"></ref>,6.900,2.205,8.464<ref name=":0" />,167,9,500,$95,December 11  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Sugar Mountain Resort http://www.skisugar.com//,Banner Elk,North Carolina,5.300,4.100,1.200,120,21,8,77,$77,December 11  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Beech Mountain Resort https://www.beechmountainresort.com//,Beech Mountain,North Carolina,5.506,4.675,831,95,17,8,84,$70,website=Beech Mountain Resort|language=en-US|access-date=2019-12-11}}</ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Appalachian Ski Mountain https://www.appskimtn.com//,Blowing Rock,North Carolina,4.000,3.635,365,27,12,5,27,$66,December 11  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Cataloochee Ski Area http://cataloochee.com//,Maggie Valley,North Carolina,5.400,4.660,740,50,18,5,24,$72,December 11  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Sapphire Valley Ski Area http://www.skisapphirevalley.com//,Sapphire,North Carolina,3.400,3.200,200,8,3,3,24,$45,website=skisapphirevalley.com|access-date=2019-12-11}}</ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Wolf Ridge Ski Resort http://www.skiwolfridgenc.com//,Mars Hill,North Carolina,4.700,4.000,700,65,15,4,65,$65,December 11  2019<ref></ref>,[added]
Aspen Highlands<ref> Colorado Ski Snowboard Area {{!}} Aspen Snowmass|website=Aspen Snowmass|access-date=2018-09-27}}</ref>,Aspen,Colorado,11.678,8.040,3.638,1.010,144,5,300,$74,website=Aspen Snowmass|language=en|access-date=2019-12-11}}</ref>,[added]
Aspen Mountain<ref> Colorado Ski Snowboard Resort {{!}} Aspen Snowmass|website=Aspen Snowmass|access-date=2018-09-27}}</ref>,Aspen,Colorado,11.212,7.945,3.267,673,76,8,300,$174,December 11  2019<ref name="aspensnowmass.com"/>,[added]
Buttermilk<ref> Colorado Ski Snowboard Area {{!}} Aspen Snowmass|website=Aspen Snowmass|access-date=2018-09-27}}</ref>,Aspen,Colorado,9.900,7.870,2.030,435,44,8,200,$174,December 11  2019<ref name="aspensnowmass.com"/>,[added]
Snowmass<ref> Colorado Ski Snowboard Area {{!}} Aspen Snowmass|website=Aspen Snowmass|access-date=2018-09-27}}</ref>,Aspen,Colorado,12.510,8.104,4.406,3.362,96,17,300,$174,December 11  2019<ref name="aspensnowmass.com"/>,[added]
Lee Canyon (Ski and Snowboard Resort)<ref></ref>,Las Vegas,Nevada,11.289,8.510,860,385,27,3,161,$79,December 11  2019<ref></ref>,[added]
Terry Peak,Lead,South Dakota,7.064,5.930,1.134,450,30,4,150,$59,website=Terry Peak|access-date=2019-12-11}}</ref>,[added]
Mount Snow https://www.mountsnow.com/,Dover,Vermont,3.600,1.900,1.700,600,86,20,156,$118,December 11  2019<ref></ref>,[added]
Wintergreen,Charlottesville,Virginia,3.515,2.512,1.003,129,26,5,35,$94,December 11  2019<ref></ref>,[added]
Angel Fire Resort https://www.angelfireresort.com/,Angel Fire,New Mexico,10.677,8.600,2.077,30,80,7,210,$84,December 11  2019<ref></ref>,[added]
Bridger Bowl,Bozeman,Montana,8.700,6.100,2.600,2.000,75,11,350,$63,September 28  2019<ref></ref>,[added]
Turner Mountain,Libby,Montana,5.952,3.842,2.110,1.000,22,1,200,$38,September 28  2019<ref></ref>,[added]
Discovery,Anaconda,Montana,8.158,5.770,2.388,2.200,67,8,150,$52,September 28  2019<ref></ref>,[added]
Great Divide,Helena,Montana,7.210,5.880,1.330,1.500,140,6,180,$48,September 28  2019<ref></ref>,[added]
Showdown,Great Falls,Montana,8.200,6.800,1.400,640,36,4,240,$49,September 28  2019,[added]
Maverick Mountain,Dillon,Montana,8.820,6.800,2.020,170,24,2,200,$39,access-date=2019-09-28}}</ref>,[added]
Lost Trail Powder Mountain,Hamilton,Montana,8.200,6.400,1.800,1.800,60,8,325,$46,September 28  2019<ref></ref>,[added]
Blacktail Mountain,Kalispell,Montana,6.780,5.340,1.440,1.000,26,4,250,$42,September 28  2019<ref></ref>,[added]
Bear Paw Ski Bowl,Havre,Montana,5.280,4.200,1.080,80,11,2,140,$20,website=skicentral.com|access-date=2019-09-28}}</ref>,[added]
Red Lodge Mountain,Red Lodge,Montana,9.416,7.016,2.400,1.635,70,7,250,$69,September 28  2019<ref></ref>,[added]
Montana Snowbowl,Missoula,Montana,7.600,5.000,2.600,950,39,4,300,$52,September 28  2019<ref></ref>,[added]
Teton Pass,Choteau,Montana,7.200,6.190,1.010,114,26,2,250,Temporarily Closed,December 11  2019<ref></ref>,[added]
White Pass,Yakima,Washington,6.500,4.500,2.000,1.400,45,8,350,$69,September 28  2019<ref></ref>,[added]
49 Degrees North,Spokane,Washington,5.774,3.923,1.851,2.325,82,6,300,$62,September 28  2019<ref></ref>,[added]
Hurricane Ridge,Port Angeles,Washington,5.500,4.800,700,[null],10,3,400,$37,September 28  2019<ref></ref>,[added]
The Summit at Snoqualmie,North Bend,Washington,5.420,2.610,2.280,1.914,62,27,435,$58,September 28  2019<ref></ref>,[added]
Ski Bluewood,Dayton,Washington,5.670,4.454,1.216,530,24,3,300,$50,September 28  2019<ref></ref>,[added]
Mount Spokane,Spokane,Washington,5.889,3.818,2.071,1.704,52,8,300,$62,September 28  2019<ref></ref>,[added]
Mission Ridge,Wenatchee,Washington,6.820,4.570,2.250,2.000,36,6,200,$75,September 28  2019<ref></ref>,[added]
Loup Loup Ski Bowl,Twisp,Washington,5.280,4.040,1.240,550,10,3,150,$55,September 28  2019<ref></ref>,[added]
Echo Valley,Chelan,Washington,3.900,3.000,900,70,6,4,[null],$30,September 28  2019<ref></ref>,[added]
Crystal Mountain,Enumclaw,Washington,7.002,4.400,2.602,2.600,57,12,350,$99,September 28  2019<ref></ref>,[added]
Badger Mountain,Waterville,Washington,3.470,3.145,325,10,5,3,120,$10,September 28  2019<ref></ref>,[added]
Leavenworth Ski Hill,Leavenworth,Washington,1.706,1.476,230,17,2,2,[null],$22,website=skileavenworth.com|access-date=2019-09-28}}</ref>,[added]
Meany Lodge,Easton,Washington,[null],[null],450,54,32,1,[null],$40,September 28  2019<ref></ref>,[added]
Sitzmark Lifts,Tonasket,Washington,4.950,4.300,650,[null],11,2,[null],$45,September 28  2019<ref></ref>,[added]
Mount Eyak,Cordova,Alaska,1.200,400,800,100,10,2,350,$30,September 28  2019<ref></ref>,[added]
Moose Mountain,Fairbanks,Alaska,1.985,685,1.300,200,40,0,70,$40,September 28  2019<ref></ref>,[added]
Eaglecrest,Juneau,Alaska,2.750,1.130,1.620,640,34,4,350,$58,September 28  2019<ref></ref>,[added]
Hilltop,Anchorage,Alaska,780,486,294,30,13,3,69,$34,website=hilltopskiarea.org|access-date=2019-09-28}}</ref>,[added]
Arctic Valley,Anchorage,Alaska,4.000,2.500,1.500,320,24,3,250,$40,September 28  2019<ref></ref>,[added]
Mount Aurora Skiland,Fairbanks,Alaska,2.435,1.408,1.027,530,46,2,[null],$40,access-date=2019-09-28}}</ref>,[added]
White Pine,Pinedale,Wyoming,9.500,8.450,1.050,350,27,2,150,$50,September 28  2019<ref></ref>,[added]
Snowy Range,Centennial,Wyoming,9.663,8.798,865,250,27,5,245,$49,September 28  2019<ref></ref>,[added]
Snow King,Jackson,Wyoming,7.808,6.237,1.571,400,32,5,175,$59,website=Snow King Mountain Resort|access-date=2019-09-28}}</ref>,[added]
Pine Creek,Cokeville,Wyoming,8.200,6.875,1.325,370,30,2,150,$45,September 28  2019<ref></ref>,[added]
Hogadon,Casper,Wyoming,8.000,7.370,630,60,27,2,140,$48,September 28  2019<ref></ref>,[added]
Meadowlark Ski Lodge,Ten Sleep,Wyoming,9.500,8.500,1.000,300,14,3,[null],$48,September 28  2019<ref></ref>,[added]
Sleeping Giant,Cody,Wyoming,7.428,6.619,810,184,49,3,310,$42,website=skicentral.com|access-date=2019-09-28}}</ref>,[added]
Elko Snobowl,Elko,Nevada,6.988,6.338,650,60,10,2,24,$20,September 28  2019<ref></ref>,[added]
Diamond Peak,Incline Village,Nevada,8.540,6.700,1.840,655,30,6,225,$99,website=Diamond Peak|access-date=2019-09-28}}</ref>,[added]
Great Bear Ski Valley,Sioux Falls,South Dakota,1.530,1.352,178,220,14,4,150,$29,September 28  2019<ref></ref>,[added]
Huff Hills,Mandan,North Dakota,2.150,1.725,425,[null],21,3,40,$35,September 28  2019<ref></ref>,[added]
Bottineau Winter Park,Bottineau,North Dakota,2.450,2.270,180,40,8,6,13,$35,September 28  2019<ref></ref>,[added]
Elk Ridge,Williams,Arizona,8.150,7.500,650,37,10,2,150,$40,website=skicentral.com|access-date=2019-09-28}}</ref>,[added]
Mount Lemmon Ski Valley,Tucson,Arizona,9.157,8.200,957,200,21,3,180,$47,September 28  2019<ref></ref>,[added]
