Provider,Win.,Linux,Mac,Android,iOS,Encrypted storage,Zero knowledge,Secure Key Management<ref></ref>,Limited MB plan,Unlimited MB plan,$/MB plan,Unlimited BW,Provider,Cloud hosted Net Drive,Sync,Autodetect changes,Public file hosting,physical media restore,Server location(s),Free online storage (non-trial),Maximum per-file size,External hard drive support,Hybrid Option,Green Hosting,OpenSaaS
ElephantDrive,[null],<ref>Linux | ElephantDrive. Home.elephantdrive.com. Retrieved on 2013-08-10.</ref>,[null],<ref>Download Android App | ElephantDrive. Home.elephantdrive.com (2011-12-09). Retrieved on 2013-08-10.</ref>,[null],[null],(off by default) <ref>What is a Personal Key in the encryption settings? : Knowledge Base and Support Center</ref>,?,[null],[null],[null],[null],ElephantDrive,<ref></ref>,<ref>Everywhere folder : Help Desk. Support.elephantdrive.com (2012-07-05). Retrieved on 2013-08-10.</ref>,[null],<ref>Tutorials . Vault.elephantdrive.com. Retrieved on 2013-08-10.</ref>,[null],[null],[null],[null],[null],?,, Amazon AWS<ref name=greenpeace_green_internet /><ref></ref>,[null]
Google Drive,[null],, no provider-sanctioned Linux support.<ref>Google Drive Is Coming to Linux</ref><ref>Teresa Wu  community manager for Google drive apps promised linux client in Apr 2012</ref><ref>Google Drive for Linux Screenshots leak after years of promises</ref>,[null],[null],[null],[null],[null],?,[null],(Enterprise Only) <ref>G Suite Business</ref>,[null],[null],Google Drive,[null],[null],[null],[null],[null],, Worldwide,[null],[null],[null],[null],: 34%<ref>Google Green - Renewable energy</ref>,[null]
IASO Backup,[null],[null],[null],[null],<ref name="Iaso.com"></ref>,<ref name="Iaso.com"/>,[null],?,[null],[null],[null],[null],IASO Backup,[null],[null],[null],[null],[null],, Worldwide,[null],[null],[null],[null],[null],[null]
iCloud,[null],, via Storage Made Easy client,[null],, via Storage Made Easy client,[null],[null],[null],?,[null],[null],[null],[null],iCloud,[null],[null],[null],[null],[null],unknown,</ref> 5 GB (Apple users only)}} <ref name="support.apple.com"></ref>,[null],[null],[null],, 94%<ref name=greenpeace_green_internet></ref>,[null]
iDrive,[null],, but you have to manually run perl scripts.<ref></ref>,[null],[null],[null],<ref></ref>,[null],[null],[null],[null],<ref></ref>,[null],iDrive,[null],[null],[null],[null],[null],unknown,[null],[null],[null],[null],[null],[null]
Infrascale,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Infrascale,[null],[null],[null],[null],[null],,          ,[null],[null],[null],[null],[null],[null]
Iperius Online Storage,[null],[null],[null],[null],[null],<ref name="Iperius Online Storage"></ref>,<ref name="Iperius Online Storage"/>,?,[null],[null],[null],[null],Iperius Online Storage,[null],[null],[null],[null],Iperius Online Storage,[null],[null],[null],[null],[null],[null],[null]
Intronis,[null],[null],[null],[null],[null],[null],[null],configurable,[null],<ref></ref>,[null],[null],Intronis,[null],<ref></ref>,[null],[null],<ref></ref>, ,[null],[null],[null],[null],[null],[null]
Jumpshare,[null],[null],[null],[null],[null],<ref></ref>,[null],[null],[null],[null],[null],<ref></ref>,Jumpshare,[null],[null],[null],[null],[null], ,[null],[null],[null],[null],[null],[null]
Jungle Disk,[null],[null],[null],[null],[null],<ref name="jungledisk1">Encryption and Account Keys : Jungle Disk Support</ref>,<ref name="jungledisk1"/>,[null],[null],[null],[null],[null],Jungle Disk,<ref></ref>,[null],[null],[null],[null], ,[null],[null],[null],[null],, Amazon AWS<ref name=greenpeace_green_internet /><ref></ref> or Rackspace Cloud Files.,[null]
KeepVault,[null],[null],[null],[null],[null],<ref>| SysTools Office 365 Backup</ref>,<ref>http://forums.proxure.com/viewtopic.php?t=2141  http://forums.proxure.com/viewtopic.php?t=1389</ref>,?,[null],[null],[null],[null],KeepVault,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Livedrive,[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],Livedrive,(paid-only)<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MediaFire,[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],MediaFire,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Mega,[null],[null],[null],[null],[null],[null],[null],<ref>We provide for user controlled encryption (UCE) where you  the user  control the keys.</ref>,[null],[null],[null],[null],Mega Ltd.,[null],[null],, using MEGAsync client,[null],[null], ,[null],[null],[null],[null],[null],[null]
MiMedia,[null],[null],[null],[null],[null],<ref></ref>,[null],?,[null],[null],[null],[null],MiMedia,<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OneDrive,[null],, see note<ref name="storagemadeeasy.com">Storage Made Easy supports OneDrive</ref>,[null],<ref>Microsoft SkyDrive for Android app is now available</ref>,[null],<ref>Defend yourself from cybercrime with new Office 365 capabilities  Microsoft monitoring  censoring SkyDrive uploads? | WMPoweruser</ref>,[null],?,[null],[null],[null],[null],OneDrive,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],, 29%<ref name=greenpeace_green_internet />,[null]
SpiderOak,[null],[null],[null],[null],[null],<ref name="spideroak.com"></ref>,<ref>The company refers to this as "No Knowledge"</ref>,?,[null],(min 10 users),[null],[null],SpiderOak,<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],<ref>https://spideroak.com/manual/preferences </ref>,[null],[null]
SugarSync,[null],[null],[null],[null],[null],<ref>Data and File Security - Secure Online Backup – SugarSync</ref>,<ref>SugarSync password recovery</ref>,?,[null],[null],[null],[null],SugarSync,[null],[null],[null],(SugarSync account needed for folders),[null],[null],[null],"There is no maximum file size limit for adding the file through the SugarSync Manager application. However  there is a 100MB limit for files being uploaded through the SugarSync website."</ref>}},[null],[null],[null],[null]
Syncplicity,[null],[null],[null],[null],[null],<ref name="syncplicity1">Syncplicity User Manual / About Syncplicity </ref>,<ref name="syncplicity1"/>,?,[null],[null],[null],[null],Syncplicity,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Tarsnap,[null],[null],[null],[null],[null],Yes,<ref>Cryptography. Tarsnap (2009-09-04). Retrieved on 2013-08-10.</ref>,?,[null],[null],[null],[null],Tarsnap,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],, Amazon AWS<ref name=greenpeace_green_internet /><ref></ref>,[null]
Trend Micro SafeSync,[null],[null],[null],, via Storage Made Easy client,, via Storage Made Easy client,[null],[null],?,[null],[null],[null],[null],Trend Micro SafeSync,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Tresorit,[null],<ref></ref>,[null],[null],[null],[null],[null],<ref>https://tresorit.com/security</ref>,[null],[null],[null],[null],Tresorit,<ref>https://support.tresorit.com/hc/en-us/articles/219312887-How-to-enable-Tresorit-Drive-</ref>,[null],[null],[null],[null],, <ref></ref>,<ref>https://support.tresorit.com/hc/en-us/articles/224348627-Does-Tresorit-have-a-free-plan- and https://tresorit.com/solo in FAQ "What happens if I cancel my trial or a subscription I'm paying for?"</ref>,<ref></ref>,[null],[null],[null],[null]
Unitrends Vault2Cloud,[null],[null],[null],[null],[null],<ref></ref>,[null],?,[null],[null],[null],[null],Unitrends Vault2Cloud,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
UpdateStar Online Backup,[null],[null],[null],[null],[null],<ref>UpdateStar - Simplify your software life</ref>,<ref>Even though UpdateStar allows you to manage your own private key  they also have an Encryption Key Recovery Service. How that exactly works is not clear from the website.</ref>,?,<ref>Server Edition</ref>,[null],[null],[null],UpdateStar Online Backup,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Yandex.Disk,[null],<ref></ref>,[null],[null],[null],<ref>Questions and Answers</ref>,[null],?,[null],[null],[null],[null],Yandex.Disk,<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Zetta.net,<ref></ref>,[null],[null],[null],[null],[null],[null],?,[null],[null],<ref></ref>,[null],Zetta.net,<ref></ref>,[null],[null],[null],[null],<ref></ref>,[null],[null],[null],[null],[null],[null]
Zmanda Cloud Backup,[null],[null],[null],[null],[null],<ref name="zmanda1">Zcb Faq. Zmanda.com. Retrieved on 2013-08-10.</ref>,<ref name="zmanda1"/>,?,[null],[null],[null],[null],Zmanda Cloud Backup,[null],[null],[null],[null],[null],,    ,[null],[null],[null],[null],, Amazon AWS or Google Cloud Storage<ref name=greenpeace_green_internet /><ref></ref>,[added]
