OpenELEC,Stephan Raue  OpenELEC Team,OpenELEC Team,[null],8.0.4,[null],[null],[null],Kodi,multimedia,[null],[null]
openSUSE,SUSE Linux  Novell,openSUSE Project,[null],Leap 15.1<ref></ref>,3 years<ref></ref>,[null],[null],–,general  desktop,[null],[null]
OpenWrt,[null],OpenWrt team,[null],18.06.4<ref></ref>,[null],[null],[null],–,embedded systems,[null],[null]
OpenMandriva Lx,OpenMandriva Association,OpenMandriva Association,[null],4.0,[null],[null],[null],Mandriva Linux,general,[null],[null]
Oracle Linux,Oracle Corporation,Oracle Corporation,[null],7.6<ref></ref>,[null],[null],[null],Red Hat Enterprise Linux (RHEL),server,[null],[null]
Parabola GNU/Linux-libre,Parabola Hackers,Parabola Hackers,[null],Rolling<ref></ref>,Rolling,[null],[null],Arch Linux,general,[null],[null]
Pardus,Scientific and Technological Research Council of Turkey (TÜBİTAK),TÜBİTAK,[null],17.5<ref></ref>,[null],[null],[null],Gentoo (2011.2) <br /> Debian,general,[null],[null]
Parsix,Alan Baghumian,Parsix Project,[null],8.15,[null],[null],[null],Debian,desktop,[null],[null]
PCLinuxOS,Bill Reynolds,dev team,[null],2019.06<ref></ref>,Semi-rolling,[null],[null],Mandriva Linux,desktop,[null],[null]
Pop! OS,Carl Ritchell,System76,[null],19.10,[null],[null],[null],Ubuntu,desktop  server  laptop,[null],[null]
Pentoo,Michael Zanetta  Rick Farina  Jens Pranaitis,Pentoo,[null],2019.1,[null],[null],[null],Gentoo Linux,auditing  security,[null],[null]
Porteus,Fanthom,Porteus,[null],4.0<ref></ref>,[null],[null],[null],Slackware,lightweight  portable,[null],[null]
Puppy Linux,Barry Kauler,Puppy Foundation,[null],8.0<ref></ref>,[null],[null],[null],Independent  inspired from Vector linux,lightweight  portable,[null],[null]
Qubes OS,Joanna Rutkowska,Invisible Things Lab,[null],4.0.1<ref></ref>,[null],[null],[null],Xen and Fedora,security by compartmentalization  desktop,[null],[null]
Red Hat Enterprise Linux (RHEL),Red Hat,Red Hat,[null],8.0,10 years<ref></ref>,[null],[null],Red Hat Linux  Fedora,server  workstation,<ref></ref><ref></ref>,[null]
Red Hat Linux,Red Hat,Red Hat,[null],9,[null],2003-03-31,[null],–,server  workstation,[null],[null]
ROSA,[null],LLC NTC IT ROSA,[null],R11<ref></ref>,[null],2019-03-15,[null],Mandriva,server  general,[null],[null]
Rocks Cluster Distribution,UCSD Supercomputing Center  Clustercorp,UCSD Supercomputing Center  Clustercorp,[null],7.0,[null],2015-12-01,[null],Red Hat Linux,server  workstation,[null],[null]
Sabayon Linux,Fabio Erculiani,dev team,[null],19.03<ref></ref>,[null],2019-03-31,[null],Gentoo Linux,general,[null],[null]
Salix OS,Cyrille Pontvieux  George Vlahavas  Pierrick Le Brun  Thorsten Mühlfelder,Salix team,[null],14.2,[null],[null],[null],Slackware,general,[null],[null]
Scientific Linux,CERN  Fermilab,dev team,[null],7.6<ref></ref>,[null],2018-12-03,[null],Red Hat Linux  Red Hat Enterprise Linux (RHEL),server  workstation,[null],[null]
Slackware,Patrick Volkerding,dev team,[null],14.2<ref name="Slackware 14.2"></ref>,[null],2016-06-30,[null],Softlanding Linux System (SLS),general,[null],[null]
Slax,Tomas Matejicek,Tomas Matejicek,[null],9.9.1<ref></ref>,[null],[null],[null],Debian  Slackware (until Slax 9),live,[null],[null]
SliTaz GNU/Linux,Christophe Lincoln,dev team,[null],Rolling,Rolling,[null],[null],Independent,portable,[null],[null]
Solus,Ikey Doherty,dev team,[null],Rolling,Rolling,[null],[null],–,desktop,[null],[null]
SolydXK,Arjen Balfoort,dev team,[null],201902<ref></ref>,Debian packages as per Debian,[null],[null],Debian,desktop,[null],[null]
SparkyLinux,[null],Sparky Linux team,[null],5.7.1<ref></ref>,[null],[null],[null],Debian,general  video games,[null],[null]
Source Mage GNU/Linux,Ryan Abrams  Eric Schabell,dev team,[null],0.62-11,[null],[null],[null],Sorcerer,general,[null],[null]
SteamOS,Valve,Valve,[null],2.195<ref></ref>,[null],[null],[null],Debian,video games,[null],[null]
SUSE Linux Enterprise,SUSE,SUSE,[null],15SP1,[null],2019-08-12,[null],Slackware  Jurix,workstation  server  supercomputer,<ref></ref>,[null]
Tails,[null],Tails Development Team,[null],3.14.2<ref></ref>,–<ref name="Tails Releases" group="g"/>,2019-06-23,[null],Debian,security-focused aimed for anonymity and privacy,[null],[null]
Tiny Core Linux,Robert Shingledecker,Team Tiny Core,[null],10.1,[null],[null],[null],Independent  inspired from Damn Small Linux,portable,[null],[null]
Tor-ramdisk,Anthony G. Basile,dev team,[null],20170130,[null],[null],[null],Gentoo Linux Embedded  uClibc,Tor server,[null],[null]
Trisquel GNU/Linux,Rubén Rodríguez Pérez (quidam),Rubén Rodríguez Pérez (quidam),[null],8.0<ref name="Trisquel Release" group="g"/>,5 years,[null],[null],Ubuntu LTS,desktop,[null],[null]
TurnKey GNU/Linux,Alon Swartz  Liraz Siri,TurnKey GNU/Linux Team,[null],15.x<ref></ref>,Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request),[null],[null],Debian,server based software appliance library aiming to balance security and ease of use,[null],[null]
Ubuntu and Derivatives<ref name="ubuntu"></ref>,Canonical Ltd.,Canonical Ltd.,[null],19.10<ref></ref>,Standard releases 1 year  LTS releases 5 years. Flavor LTS releases 3 or 5 years.,[null],[null],Debian,general  server  desktop  supercomputer  IBM mainframe,[null],[null]
Univention Corporate Server,Univention GmbH,Univention GmbH,[null],4.4<ref></ref>,up to 6 months for the free Core Edition; if maintenance is purchased  it's up to 7 years  see:<ref></ref>,[null],[null],Debian,home  business  and school,[null],[null]
Ututo,Diego Saravia  Daniel Olivera,UTUTO dev team,[null],XS 2012,[null],[null],[null],Ututo XS: Gentoo Linux  Ututo UL: Ubuntu,general,[null],[null]
VectorLinux,Robert S. Lange,dev team,[null],VL 7.2<ref></ref>,[null],2017-08-28,[null],Slackware,desktop,[null],[null]
Void Linux,Juan Romero Pardines,Juan RP and contributors,[null],Rolling,Rolling,[null],[null],Independent  partially inspired by FreeBSD/NetBSD,general,[null],[null]
Webconverger,Kai Hendry,Webconverger Limited,[null],35.0,[null],[null],[null],Debian,kiosk software  digital signage,[null],[null]
Xandros,Xandros Incorporated,Xandros Incorporated,[null],[null],[null],[null],[null],Corel Linux,[null],[null],[null]
Zentyal,eBox Technologies,eBox Technologies,[null],6.0<ref></ref>,[null],[null],[null],Debian  Ubuntu,small business server,[null],[null]
Zenwalk,Jean-Philippe Guillemin,dev team,[null],Rolling<ref name="zenwalk_release"></ref>,[null],2018-03-09,[null],Slackware,general,[null],[null]
Zorin OS,Zorin Group,Zorin Group,2009,OS 15<ref></ref>,[null],2019-06-05,[null],Ubuntu,general  desktop  windows & mac-like experience,[null],[null]
Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
