Company,Software,On-demand<br />scan,On-access<br />scan,Boot-time<br />scans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,Live<br />Update,Support,Settings Import/<br />Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
Kaspersky Lab,Kaspersky Anti-Virus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],1997,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
Kaspersky Lab,Kaspersky Internet Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2007,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
Kaspersky Lab,Kaspersky Total Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,[null],[null],[null],Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG,[added]
McAfee,McAfee Antivirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],1987,United States,John McAfee,John McAfee "uninstall video" scandal
McAfee,McAfee Internet Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2006,United States,John McAfee,John McAfee "uninstall video" scandal
Microsoft,Windows Defender,[null],[null],[null],Only Windows 10,[null],excepting Windows Firewall<ref></ref>,[null],[null],?,[null],[null],[null],[null],[null],[null],?,[null],[null],2012,United States,[null],[added],[added]
NANO Security Ltd,NANO Antivirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,[null],[null],2009,Russia,[null],[added],[added]
Panda Security,Panda Antivirus Pro,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],1990,Spain,Mikel Urizarbarrena,[added]
Panda Security,Panda Internet Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2002,Spain,Mikel Urizarbarrena,[added]
Panda Security,Panda Antivirus Free,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2009,Spain,[null],[added]
Qihoo 360,360 Total Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2006,China,[null],[added]
Quick Heal,Quick Heal Total Security,[null],[null],[null],[null],[null],[null],[null],[null],*,[null],[null],[null],[null],[null],[null],?,[null],[null],1995,India,[null],*Browser Sandbox only.,[added]
Sophos,Sophos Anti-Virus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],1988,United Kingdom,Jan Hruska and Peter Lammer,[added]
Sophos,Sophos EndUser Protection,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2000,United Kingdom,Jan Hruska and Peter Lammer,[added]
Symantec,Norton Internet Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2000,United States,[null],Whitelists FBI backdoor scandal<ref name="FBI trojan"></ref><ref name="FBI Trojan horse triggers alarms"></ref>
Symantec (originally PC Tools),Spyware Doctor with AntiVirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2003,United States,[null],[added]
Trend Micro,Titanium Antivirus Plus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],1990,Japan,[null],[added]
Trend Micro,Titanium Internet Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2008,Japan,[null],[added]
TrustPort,TrustPort Antivirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2008,Czech Republic,[null],Third-party antivirus engine (?)
TrustPort,TrustPort Internet Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2008,Czech Republic,[null],Third-party antivirus engine (?)
TrustPort,TrustPort Total Protection,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2008,Czech Republic,[null],Third-party antivirus engine (?)
VirusBlokAda,Vba32 AntiVirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2010,Belarus,[null],[added]
Webroot,SecureAnywhere AntiVirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2011,United States,[null],[added]
Webroot,SecureAnywhere Internet Security Plus and Complete,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2011,United States,[null],[added]
Company,Software,On-demand scan,On-access scan,Boot-time scans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,Live-Update,Support,Settings Import/Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
