System,Documentation integration/generation  reporting,Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA<ref name="ReferenceSLA">System supports service level agreement management</ref>,Plugin API<ref name="ReferenceAPI">System has a plugin API to allow integration with other products</ref>,Multiple projects,Full-text search,Indexed full-text search,Indexed file search,Edit conflict warning
Jira,, Dashboard with reporting widgets (Open Social) Excel  Word  customizable charts  Confluence (Enterprise wiki),<ref></ref>,[null],[null],[null],[null],<ref></ref>,[null],<ref name="JIRA - Performing Text Searches" ></ref>,Uses Lucene<ref name="JIRA - Performing Text Searches" />,<ref></ref>,<ref>Edit a JIRA Issue at the same time by two Users result in last save wins</ref>
Launchpad,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MantisBT,, Integration of MediaWiki  DokuWiki  XWiki,[null],[null],[null],[null],[null],[null],[null],<ref></ref>,[null],<ref></ref>,[null]
Microsoft Dynamics CRM,, reporting: integrated charts and reports  export to Excel  Mail Merge,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
org-mode,, org-mode has built-in export to HTML  Latex  .md and literate programming capabilities for multiple languages in a single document,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OTRS,, Advanced reporting  configurable dashboards,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Phabricator,, integrated wiki and limited burn down charts,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Pivotal Tracker,, real time collaborative story backlog  integrated reports  email notification,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Redmine,, integrated wiki  discussion forums  news blogs  email integration  calendars  Gantt Charts  RSS  export to PDF  export to Excel/CSV,<ref>Jenkins</ref>,[null],[null],[null],<ref>Commercial plugin available (Redmine Reporting)</ref>,[null],[null],<ref></ref>,, when using PostgreSQL<ref>Free plugin available (Redmine PostgreSQL Search)</ref>,<ref></ref>,<ref>Redmine Feature #8691 Better handling of issue update conflict</ref>
Request Tracker,, MediaWiki<ref></ref>,[null],[null],[null],[null],<ref>Needs a third-party extension (RT-Extension-SLA)</ref>,<ref>RT can be extended through Perl extensions  see for example RTX:: modules on MetaCPAN.org</ref>,[null],<ref name="Best Practical: What's New in 4: Fast full-text searching"></ref>,<ref name="Best Practical: What's New in 4: Fast full-text searching" />,[null],[null]
Roundup,, wiki can be integrated or linked,[null],[null],[null],[null],[null],<ref></ref>,[null],<ref></ref>,with issues<ref></ref>,[null],[null]
StarTeam,[null],<ref>Borland</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Supportworks,- Integrated reporting wizard  customizable PHP reporting tool  dashboard  optional interface with Crystal Reports  export to Microsoft Excel/CSV  knowledge base  optional asset management tool,[null],[null],[null],[null],[null],<ref>5005 API exists but is undocumented</ref>,[null],[null],[null],[null],[null]
SysAid,- LDAP/Email/Calendar integration  integrated Asset Management  integrated reporting  SSO  custom fields  export to CSV/PDF  KB,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Team Foundation Server,- workflow definitions  process documentation,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Teamwork,[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,Uses Lucene,[null],[null]
TestTrack,- Advanced reporting  integrated charts  export to Excel  workflow with triggers,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Trac,, integrated wiki,<ref></ref>,[null],[null],[null],[null],<ref></ref>,<ref></ref>,[null],<ref></ref>,[null],<ref>Trac #7145 Improve handling of conflicts due to concurrent ticket edits</ref>
TrackerSuite.Net,. Dashboards. Graphical reports. Integration with Crystal Reports. Reports can be exported to Microsoft Excel.,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Tuleap,, Kanban boards  Scrum planning and burndown charts  pies  Gantt  barrs  cardwall  Document Manager with approval workflow and fine grained permissions  wikis,[null],[null],[null],[null],[null],[null],[null],with plugin fulltext,with plugin fulltext,[null],[null]
Usersnap,. Dashboards  Help Center.,[null],, via Tags.,[null],[null],, available for enterprise plans,[null],[null],[null],[null],[null],[null]
Wrike,, real-time customized reports  export to Excel  scheduled reports by mail  alerts  discussions  Gantt charts ,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
YouTrack,: Wiki syntax  custom workflow  custom issue attributes  notifications (email  jabber  RSS  etc.)  email integration  reports  export to HTML and CSV  integration with VCSs.,<ref></ref>,[null],[null],[null],<ref></ref>,<ref></ref>,[null],<ref></ref>,(Uses Lucene),[null],[null]
System,Dynamic documentation integration/generation,Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA<ref name="ReferenceSLA"/>,Plugin API<ref name="ReferenceAPI"/>,Multiple projects,Full-text search,Indexed full-text search,Indexed file search,Edit conflict warning
